,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
0,1842,NA,1,25,9,"[[('singl', 6), ('air', 5), ('bronchial', 5), ('ramif', 3), ('inspir', 2), ('free', 1), ('communic', 1), ('lobul', 1), ('lung', 1)]]","[[('singl', 6), ('air', 5), ('bronchial', 5), ('ramif', 3), ('inspir', 2), ('free', 1), ('communic', 1), ('lobul', 1), ('lung', 1)]]","[[('singl', 6), ('air', 5), ('bronchial', 5), ('ramif', 3), ('inspir', 2), ('free', 1), ('communic', 1), ('lobul', 1), ('lung', 1)]]","[[('singl', 6), ('air', 5), ('bronchial', 5), ('ramif', 3), ('inspir', 2), ('free', 1), ('communic', 1), ('lobul', 1), ('lung', 1)]]",0,,1,"[[('singl', 6)]]",2,"[[('singl', 6), ('air', 5)]]",2,"[[('singl', 6), ('air', 5)]]"
1,1843,NA,,,,,,,,,,,,,,,
2,1844,NA,,,,,,,,,,,,,,,
3,1845,NA,,,,,,,,,,,,,,,
4,1846,NA,,,,,,,,,,,,,,,
5,1847,NA,,,,,,,,,,,,,,,
6,1848,NA,,,,,,,,,,,,,,,
7,1849,NA,,,,,,,,,,,,,,,
8,1850,NA,,,,,,,,,,,,,,,
9,1851,NA,,,,,,,,,,,,,,,
10,1852,NA,,,,,,,,,,,,,,,
11,1853,NA,,,,,,,,,,,,,,,
12,1854,NA,,,,,,,,,,,,,,,
13,1855,NA,,,,,,,,,,,,,,,
14,1856,NA,,,,,,,,,,,,,,,
15,1857,NA,1,20,10,"[[('contract', 5), ('muscl', 4), ('state', 3), ('air', 2), ('develop', 1), ('heat', 1), ('present', 1), ('seri', 1), ('chemic', 1), ('chang', 1)]]","[[('contract', 5), ('muscl', 4), ('state', 3), ('air', 2), ('develop', 1), ('heat', 1), ('present', 1), ('seri', 1), ('chemic', 1), ('chang', 1)]]","[[('contract', 5), ('muscl', 4), ('state', 3), ('air', 2), ('develop', 1), ('heat', 1), ('present', 1), ('seri', 1), ('chemic', 1), ('chang', 1)]]","[[('contract', 5), ('muscl', 4), ('state', 3), ('air', 2), ('develop', 1), ('heat', 1), ('present', 1), ('seri', 1), ('chemic', 1), ('chang', 1)]]",0,,1,"[[('contract', 5)]]",2,"[[('contract', 5), ('muscl', 4)]]",2,"[[('contract', 5), ('muscl', 4)]]"
16,1858,NA,,,,,,,,,,,,,,,
17,1859,NA,1,21,10,"[[('relat', 3), ('capillari', 3), ('part', 3), ('smaller', 3), ('fibr', 2), ('arteri', 2), ('vessel', 2), ('elementari', 1), ('muscular', 1), ('close', 1)]]","[[('relat', 3), ('capillari', 3), ('part', 3), ('smaller', 3), ('fibr', 2), ('arteri', 2), ('vessel', 2), ('elementari', 1), ('muscular', 1), ('close', 1)]]","[[('relat', 3), ('capillari', 3), ('part', 3), ('smaller', 3), ('fibr', 2), ('arteri', 2), ('vessel', 2), ('elementari', 1), ('muscular', 1), ('close', 1)]]","[[('relat', 3), ('capillari', 3), ('part', 3), ('smaller', 3), ('fibr', 2), ('arteri', 2), ('vessel', 2), ('elementari', 1), ('muscular', 1), ('close', 1)]]",0,,1,"[[('relat', 3)]]",2,"[[('relat', 3), ('capillari', 3)]]",2,"[[('relat', 3), ('capillari', 3)]]"
18,1860,NA,,,,,,,,,,,,,,,
19,1861,NA,,,,,,,,,,,,,,,
