,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
0,1830,NA,1.0,18.0,12.0,"[[('import', 4), ('inquiri', 2), ('standard', 2), ('fact', 2), ('new', 1), ('extract', 1), ('paper', 1), ('sourc', 1), ('error', 1), ('point', 1)]]","[[('import', 4), ('inquiri', 2), ('standard', 2), ('fact', 2), ('new', 1), ('extract', 1), ('paper', 1), ('sourc', 1), ('error', 1), ('point', 1), ('view', 1), ('weight', 1)]]","[[('import', 4), ('inquiri', 2), ('standard', 2), ('fact', 2), ('new', 1), ('extract', 1), ('paper', 1), ('sourc', 1), ('error', 1), ('point', 1), ('view', 1), ('weight', 1)]]","[[('import', 4), ('inquiri', 2), ('standard', 2), ('fact', 2), ('new', 1), ('extract', 1), ('paper', 1), ('sourc', 1), ('error', 1), ('point', 1), ('view', 1), ('weight', 1)]]",0.0,,1.0,"[[('import', 4)]]",2.0,"[[('import', 4), ('inquiri', 2)]]",3.0,"[[('import', 4), ('inquiri', 2), ('standard', 2)]]"
1,1831,NA,,,,,,,,,,,,,,,
2,1832,NA,,,,,,,,,,,,,,,
3,1833,NA,,,,,,,,,,,,,,,
4,1834,NA,,,,,,,,,,,,,,,
5,1835,NA,,,,,,,,,,,,,,,
6,1836,NA,,,,,,,,,,,,,,,
7,1837,NA,,,,,,,,,,,,,,,
8,1838,NA,,,,,,,,,,,,,,,
9,1839,NA,,,,,,,,,,,,,,,
10,1840,NA,,,,,,,,,,,,,,,
11,1841,NA,,,,,,,,,,,,,,,
12,1842,NA,,,,,,,,,,,,,,,
13,1843,NA,,,,,,,,,,,,,,,
14,1844,NA,,,,,,,,,,,,,,,
15,1845,NA,,,,,,,,,,,,,,,
16,1846,NA,,,,,,,,,,,,,,,
17,1847,NA,,,,,,,,,,,,,,,
18,1848,NA,1.0,23.0,11.0,"[[('subject', 4), ('differ', 4), ('rang', 4), ('mean', 2), ('valu', 2), ('diurnal', 2), ('investig', 1), ('interv', 1), ('day', 1), ('period', 1)]]","[[('subject', 4), ('differ', 4), ('rang', 4), ('mean', 2), ('valu', 2), ('diurnal', 2), ('investig', 1), ('interv', 1), ('day', 1), ('period', 1), ('element', 1)]]","[[('subject', 4), ('differ', 4), ('rang', 4), ('mean', 2), ('valu', 2), ('diurnal', 2), ('investig', 1), ('interv', 1), ('day', 1), ('period', 1), ('element', 1)]]","[[('subject', 4), ('differ', 4), ('rang', 4), ('mean', 2), ('valu', 2), ('diurnal', 2), ('investig', 1), ('interv', 1), ('day', 1), ('period', 1), ('element', 1)]]",0.0,,1.0,"[[('subject', 4)]]",2.0,"[[('subject', 4), ('differ', 4)]]",3.0,"[[('subject', 4), ('differ', 4), ('rang', 4)]]"
19,1849,NA,,,,,,,,,,,,,,,
20,1850,NA,,,,,,,,,,,,,,,
21,1851,NA,,,,,,,,,,,,,,,
22,1852,NA,,,,,,,,,,,,,,,
23,1853,NA,,,,,,,,,,,,,,,
24,1854,NA,,,,,,,,,,,,,,,
25,1855,NA,,,,,,,,,,,,,,,
26,1856,NA,,,,,,,,,,,,,,,
27,1857,NA,,,,,,,,,,,,,,,
28,1858,NA,,,,,,,,,,,,,,,
29,1859,NA,,,,,,,,,,,,,,,
30,1860,NA,,,,,,,,,,,,,,,
31,1861,NA,,,,,,,,,,,,,,,
32,1862,NA,,,,,,,,,,,,,,,
33,1863,NA,,,,,,,,,,,,,,,
34,1864,NA,,,,,,,,,,,,,,,
35,1865,NA,,,,,,,,,,,,,,,
36,1866,NA,,,,,,,,,,,,,,,
37,1867,NA,,,,,,,,,,,,,,,
38,1868,NA,,,,,,,,,,,,,,,
39,1869,NA,,,,,,,,,,,,,,,
40,1870,NA,,,,,,,,,,,,,,,
41,1871,NA,,,,,,,,,,,,,,,
42,1872,NA,,,,,,,,,,,,,,,
43,1873,NA,,,,,,,,,,,,,,,
44,1874,NA,,,,,,,,,,,,,,,
45,1875,NA,,,,,,,,,,,,,,,
46,1876,NA,,,,,,,,,,,,,,,
47,1877,NA,,,,,,,,,,,,,,,
48,1878,NA,,,,,,,,,,,,,,,
49,1879,NA,,,,,,,,,,,,,,,
50,1880,NA,,,,,,,,,,,,,,,
51,1881,NA,,,,,,,,,,,,,,,
52,1882,NA,1.0,25.0,10.0,"[[('month', 4), ('present', 4), ('year', 3), ('use', 3), ('summer', 2), ('method', 2), ('revolv', 2), ('disk', 2), ('origin', 2), ('plane', 1)]]","[[('month', 4), ('present', 4), ('year', 3), ('use', 3), ('summer', 2), ('method', 2), ('revolv', 2), ('disk', 2), ('origin', 2), ('plane', 1)]]","[[('month', 4), ('present', 4), ('year', 3), ('use', 3), ('summer', 2), ('method', 2), ('revolv', 2), ('disk', 2), ('origin', 2), ('plane', 1)]]","[[('month', 4), ('present', 4), ('year', 3), ('use', 3), ('summer', 2), ('method', 2), ('revolv', 2), ('disk', 2), ('origin', 2), ('plane', 1)]]",0.0,,1.0,"[[('month', 4)]]",2.0,"[[('month', 4), ('present', 4)]]",2.0,"[[('month', 4), ('present', 4)]]"
53,1883,NA,,,,,,,,,,,,,,,
54,1884,NA,,,,,,,,,,,,,,,
55,1885,NA,,,,,,,,,,,,,,,
56,1886,NA,,,,,,,,,,,,,,,
57,1887,NA,,,,,,,,,,,,,,,
58,1888,NA,,,,,,,,,,,,,,,
59,1889,NA,,,,,,,,,,,,,,,
60,1890,NA,,,,,,,,,,,,,,,
61,1891,NA,,,,,,,,,,,,,,,
62,1892,NA,,,,,,,,,,,,,,,
63,1893,NA,,,,,,,,,,,,,,,
64,1894,NA,,,,,,,,,,,,,,,
65,1895,NA,1.0,21.0,14.0,"[[('term', 4), ('biolog', 3), ('quantit', 2), ('certain', 2), ('measur', 1), ('object', 1), ('paper', 1), ('theori', 1), ('hered', 1), ('symbol', 1)]]","[[('term', 4), ('biolog', 3), ('quantit', 2), ('certain', 2), ('measur', 1), ('object', 1), ('paper', 1), ('theori', 1), ('hered', 1), ('symbol', 1), ('manner', 1), ('capabl', 1), ('wide', 1), ('field', 1)]]","[[('term', 4), ('biolog', 3), ('quantit', 2), ('certain', 2), ('measur', 1), ('object', 1), ('paper', 1), ('theori', 1), ('hered', 1), ('symbol', 1), ('manner', 1), ('capabl', 1), ('wide', 1), ('field', 1)]]","[[('term', 4), ('biolog', 3), ('quantit', 2), ('certain', 2), ('measur', 1), ('object', 1), ('paper', 1), ('theori', 1), ('hered', 1), ('symbol', 1), ('manner', 1), ('capabl', 1), ('wide', 1), ('field', 1)]]",0.0,,1.0,"[[('term', 4)]]",3.0,"[[('term', 4), ('biolog', 3), ('quantit', 2)]]",4.0,"[[('term', 4), ('biolog', 3), ('quantit', 2), ('certain', 2)]]"
66,1896,NA,1.0,22.0,8.0,"[[('correl', 6), ('measur', 4), ('organ', 4), ('denomin', 3), ('plausibl', 2), ('contribut', 1), ('theori', 1), ('indic', 1)]]","[[('correl', 6), ('measur', 4), ('organ', 4), ('denomin', 3), ('plausibl', 2), ('contribut', 1), ('theori', 1), ('indic', 1)]]","[[('correl', 6), ('measur', 4), ('organ', 4), ('denomin', 3), ('plausibl', 2), ('contribut', 1), ('theori', 1), ('indic', 1)]]","[[('correl', 6), ('measur', 4), ('organ', 4), ('denomin', 3), ('plausibl', 2), ('contribut', 1), ('theori', 1), ('indic', 1)]]",0.0,,1.0,"[[('correl', 6)]]",2.0,"[[('correl', 6), ('measur', 4)]]",2.0,"[[('correl', 6), ('measur', 4)]]"
67,1897,NA,4.0,90.0,35.0,"[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5), ('contribut', 4), ('variat', 4), ('amount', 4), ('arithmet', 4), ('formui', 3), ('error', 3)]]","[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5), ('contribut', 4), ('variat', 4), ('amount', 4), ('arithmet', 4), ('formui', 3), ('error', 3), ('distribut', 3), ('relat', 3), ('degre', 3), ('sexual', 3), ('compar', 3), ('work', 3), ('place', 3), ('general', 2), ('idea', 2), ('select', 2), ('origin', 2), ('larg', 2), ('first', 2), ('treatment', 1), ('object', 1), ('paper', 1), ('civilis', 1), ('case', 1), ('evolut', 1), ('probabl', 1), ('random', 1), ('natur', 1), ('constant', 1), ('divers', 1), ('station', 1)]]","[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5), ('contribut', 4), ('variat', 4), ('amount', 4), ('arithmet', 4), ('formui', 3), ('error', 3), ('distribut', 3), ('relat', 3), ('degre', 3), ('sexual', 3), ('compar', 3), ('work', 3), ('place', 3), ('general', 2), ('idea', 2), ('select', 2), ('origin', 2), ('larg', 2), ('first', 2), ('treatment', 1), ('object', 1), ('paper', 1), ('civilis', 1), ('case', 1), ('evolut', 1), ('probabl', 1), ('random', 1), ('natur', 1), ('constant', 1), ('divers', 1), ('station', 1)]]","[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5), ('contribut', 4), ('variat', 4), ('amount', 4), ('arithmet', 4), ('formui', 3), ('error', 3), ('distribut', 3), ('relat', 3), ('degre', 3), ('sexual', 3), ('compar', 3), ('work', 3), ('place', 3), ('general', 2), ('idea', 2), ('select', 2), ('origin', 2), ('larg', 2), ('first', 2), ('treatment', 1), ('object', 1), ('paper', 1), ('civilis', 1), ('case', 1), ('evolut', 1), ('probabl', 1), ('random', 1), ('natur', 1), ('constant', 1), ('divers', 1), ('station', 1)]]",0.0,,4.0,"[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5)]]",7.0,"[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5), ('contribut', 4), ('variat', 4), ('amount', 4)]]",9.0,"[[('theori', 7), ('correl', 6), ('normal', 5), ('frequenc', 5), ('contribut', 4), ('variat', 4), ('amount', 4), ('arithmet', 4), ('formui', 3)]]"
68,1898,NA,,,,,,,,,,,,,,,
69,1899,NA,2.0,41.0,19.0,"[[('last', 5), ('attribut', 4), ('year', 3), ('collabor', 3), ('import', 3), ('number', 3), ('problem', 2), ('consider', 2), ('associ', 2), ('theori', 2)]]","[[('last', 5), ('attribut', 4), ('year', 3), ('collabor', 3), ('import', 3), ('number', 3), ('problem', 2), ('consider', 2), ('associ', 2), ('theori', 2), ('materi', 2), ('childhood', 2), ('frequenc', 2), ('data', 1), ('deal', 1), ('observ', 1), ('statist', 1), ('societi', 1), ('total', 1)]]","[[('last', 5), ('attribut', 4), ('year', 3), ('collabor', 3), ('import', 3), ('number', 3), ('problem', 2), ('consider', 2), ('associ', 2), ('theori', 2), ('materi', 2), ('childhood', 2), ('frequenc', 2), ('data', 1), ('deal', 1), ('observ', 1), ('statist', 1), ('societi', 1), ('total', 1)]]","[[('last', 5), ('attribut', 4), ('year', 3), ('collabor', 3), ('import', 3), ('number', 3), ('problem', 2), ('consider', 2), ('associ', 2), ('theori', 2), ('materi', 2), ('childhood', 2), ('frequenc', 2), ('data', 1), ('deal', 1), ('observ', 1), ('statist', 1), ('societi', 1), ('total', 1)]]",0.0,,2.0,"[[('last', 5), ('attribut', 4)]]",4.0,"[[('last', 5), ('attribut', 4), ('year', 3), ('collabor', 3)]]",5.0,"[[('last', 5), ('attribut', 4), ('year', 3), ('collabor', 3), ('import', 3)]]"
70,1900,NA,2.0,45.0,20.0,"[[('system', 6), ('correl', 4), ('form', 4), ('bodi', 4), ('case', 3), ('deviat', 3), ('probabl', 3), ('exampl', 3), ('variabl', 2), ('portion', 2)]]","[[('system', 6), ('correl', 4), ('form', 4), ('bodi', 4), ('case', 3), ('deviat', 3), ('probabl', 3), ('exampl', 3), ('variabl', 2), ('portion', 2), ('number', 2), ('random', 1), ('sampl', 1), ('first', 1), ('consider', 1), ('suscept', 1), ('continu', 1), ('discontinu', 1), ('theori', 1), ('statist', 1)]]","[[('system', 6), ('correl', 4), ('form', 4), ('bodi', 4), ('case', 3), ('deviat', 3), ('probabl', 3), ('exampl', 3), ('variabl', 2), ('portion', 2), ('number', 2), ('random', 1), ('sampl', 1), ('first', 1), ('consider', 1), ('suscept', 1), ('continu', 1), ('discontinu', 1), ('theori', 1), ('statist', 1)]]","[[('system', 6), ('correl', 4), ('form', 4), ('bodi', 4), ('case', 3), ('deviat', 3), ('probabl', 3), ('exampl', 3), ('variabl', 2), ('portion', 2), ('number', 2), ('random', 1), ('sampl', 1), ('first', 1), ('consider', 1), ('suscept', 1), ('continu', 1), ('discontinu', 1), ('theori', 1), ('statist', 1)]]",0.0,,2.0,"[[('system', 6), ('correl', 4)]]",4.0,"[[('system', 6), ('correl', 4), ('form', 4), ('bodi', 4)]]",5.0,"[[('system', 6), ('correl', 4), ('form', 4), ('bodi', 4), ('case', 3)]]"
71,1901,NA,,,,,,,,,,,,,,,
72,1902,NA,,,,,,,,,,,,,,,
73,1903,NA,,,,,,,,,,,,,,,
74,1904,NA,,,,,,,,,,,,,,,
75,1905,NA,,,,,,,,,,,,,,,
76,1906,NA,,,,,,,,,,,,,,,
77,1907,NA,1.0,22.0,9.0,"[[('militari', 5), ('patient', 3), ('materi', 3), ('psychos', 3), ('abund', 2), ('depart', 2), ('statist', 2), ('hospit', 1), ('period', 1)]]","[[('militari', 5), ('patient', 3), ('materi', 3), ('psychos', 3), ('abund', 2), ('depart', 2), ('statist', 2), ('hospit', 1), ('period', 1)]]","[[('militari', 5), ('patient', 3), ('materi', 3), ('psychos', 3), ('abund', 2), ('depart', 2), ('statist', 2), ('hospit', 1), ('period', 1)]]","[[('militari', 5), ('patient', 3), ('materi', 3), ('psychos', 3), ('abund', 2), ('depart', 2), ('statist', 2), ('hospit', 1), ('period', 1)]]",0.0,,1.0,"[[('militari', 5)]]",2.0,"[[('militari', 5), ('patient', 3)]]",2.0,"[[('militari', 5), ('patient', 3)]]"
78,1908,NA,,,,,,,,,,,,,,,
79,1909,NA,,,,,,,,,,,,,,,
80,1910,NA,,,,,,,,,,,,,,,
81,1911,NA,,,,,,,,,,,,,,,
82,1912,NA,,,,,,,,,,,,,,,
83,1913,NA,,,,,,,,,,,,,,,
84,1914,NA,,,,,,,,,,,,,,,
85,1915,NA,,,,,,,,,,,,,,,
86,1916,NA,,,,,,,,,,,,,,,
87,1917,NA,,,,,,,,,,,,,,,
88,1918,NA,,,,,,,,,,,,,,,
89,1919,NA,,,,,,,,,,,,,,,
90,1920,NA,,,,,,,,,,,,,,,
91,1921,NA,,,,,,,,,,,,,,,
92,1922,NA,1.0,23.0,12.0,"[[('depart', 4), ('modern', 4), ('apparatus', 3), ('agent', 2), ('ray', 2), ('radium', 2), ('treatment', 1), ('therapeut', 1), ('hospit', 1), ('case', 1)]]","[[('depart', 4), ('modern', 4), ('apparatus', 3), ('agent', 2), ('ray', 2), ('radium', 2), ('treatment', 1), ('therapeut', 1), ('hospit', 1), ('case', 1), ('radiat', 1), ('milligramm', 1)]]","[[('depart', 4), ('modern', 4), ('apparatus', 3), ('agent', 2), ('ray', 2), ('radium', 2), ('treatment', 1), ('therapeut', 1), ('hospit', 1), ('case', 1), ('radiat', 1), ('milligramm', 1)]]","[[('depart', 4), ('modern', 4), ('apparatus', 3), ('agent', 2), ('ray', 2), ('radium', 2), ('treatment', 1), ('therapeut', 1), ('hospit', 1), ('case', 1), ('radiat', 1), ('milligramm', 1)]]",0.0,,1.0,"[[('depart', 4)]]",2.0,"[[('depart', 4), ('modern', 4)]]",3.0,"[[('depart', 4), ('modern', 4), ('apparatus', 3)]]"
93,1923,NA,,,,,,,,,,,,,,,
94,1924,NA,,,,,,,,,,,,,,,
95,1925,NA,1.0,20.0,13.0,"[[('distinct', 3), ('type', 3), ('clam', 2), ('period', 2), ('sever', 2), ('age', 1), ('adult', 1), ('differ', 1), ('worker', 1), ('ordinari', 1)]]","[[('distinct', 3), ('type', 3), ('clam', 2), ('period', 2), ('sever', 2), ('age', 1), ('adult', 1), ('differ', 1), ('worker', 1), ('ordinari', 1), ('linear', 1), ('data', 1), ('rapid', 1)]]","[[('distinct', 3), ('type', 3), ('clam', 2), ('period', 2), ('sever', 2), ('age', 1), ('adult', 1), ('differ', 1), ('worker', 1), ('ordinari', 1), ('linear', 1), ('data', 1), ('rapid', 1)]]","[[('distinct', 3), ('type', 3), ('clam', 2), ('period', 2), ('sever', 2), ('age', 1), ('adult', 1), ('differ', 1), ('worker', 1), ('ordinari', 1), ('linear', 1), ('data', 1), ('rapid', 1)]]",0.0,,1.0,"[[('distinct', 3)]]",3.0,"[[('distinct', 3), ('type', 3), ('clam', 2)]]",3.0,"[[('distinct', 3), ('type', 3), ('clam', 2)]]"
96,1926,NA,,,,,,,,,,,,,,,
97,1927,NA,,,,,,,,,,,,,,,
98,1928,NA,,,,,,,,,,,,,,,
99,1929,NA,1.0,24.0,9.0,"[[('profess', 5), ('teach', 5), ('manner', 4), ('stabl', 3), ('compat', 2), ('educ', 2), ('interest', 1), ('field', 1), ('serious', 1)]]","[[('profess', 5), ('teach', 5), ('manner', 4), ('stabl', 3), ('compat', 2), ('educ', 2), ('interest', 1), ('field', 1), ('serious', 1)]]","[[('profess', 5), ('teach', 5), ('manner', 4), ('stabl', 3), ('compat', 2), ('educ', 2), ('interest', 1), ('field', 1), ('serious', 1)]]","[[('profess', 5), ('teach', 5), ('manner', 4), ('stabl', 3), ('compat', 2), ('educ', 2), ('interest', 1), ('field', 1), ('serious', 1)]]",0.0,,1.0,"[[('profess', 5)]]",2.0,"[[('profess', 5), ('teach', 5)]]",2.0,"[[('profess', 5), ('teach', 5)]]"
100,1930,NA,1.0,18.0,6.0,"[[('valu', 5), ('case', 5), ('relat', 3), ('studi', 3), ('health', 1), ('nurs', 1)]]","[[('valu', 5), ('case', 5), ('relat', 3), ('studi', 3), ('health', 1), ('nurs', 1)]]","[[('valu', 5), ('case', 5), ('relat', 3), ('studi', 3), ('health', 1), ('nurs', 1)]]","[[('valu', 5), ('case', 5), ('relat', 3), ('studi', 3), ('health', 1), ('nurs', 1)]]",0.0,,1.0,"[[('valu', 5)]]",1.0,"[[('valu', 5)]]",2.0,"[[('valu', 5), ('case', 5)]]"
