,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
0,1807,NA,1.0,21.0,12.0,"[[('minut', 3), ('analyt', 3), ('investig', 3), ('natur', 3), ('experi', 2), ('water', 1), ('share', 1), ('attent', 1), ('indispens', 1), ('account', 1)]]","[[('minut', 3), ('analyt', 3), ('investig', 3), ('natur', 3), ('experi', 2), ('water', 1), ('share', 1), ('attent', 1), ('indispens', 1), ('account', 1), ('intens', 1), ('salt', 1)]]","[[('minut', 3), ('analyt', 3), ('investig', 3), ('natur', 3), ('experi', 2), ('water', 1), ('share', 1), ('attent', 1), ('indispens', 1), ('account', 1), ('intens', 1), ('salt', 1)]]","[[('minut', 3), ('analyt', 3), ('investig', 3), ('natur', 3), ('experi', 2), ('water', 1), ('share', 1), ('attent', 1), ('indispens', 1), ('account', 1), ('intens', 1), ('salt', 1)]]",0.0,,1.0,"[[('minut', 3)]]",2.0,"[[('minut', 3), ('analyt', 3)]]",3.0,"[[('minut', 3), ('analyt', 3), ('investig', 3)]]"
1,1808,NA,,,,,,,,,,,,,,,
2,1809,NA,,,,,,,,,,,,,,,
3,1810,NA,,,,,,,,,,,,,,,
4,1811,NA,,,,,,,,,,,,,,,
5,1812,NA,,,,,,,,,,,,,,,
6,1813,NA,,,,,,,,,,,,,,,
7,1814,NA,,,,,,,,,,,,,,,
8,1815,NA,,,,,,,,,,,,,,,
9,1816,NA,,,,,,,,,,,,,,,
10,1817,NA,,,,,,,,,,,,,,,
11,1818,NA,,,,,,,,,,,,,,,
12,1819,NA,,,,,,,,,,,,,,,
13,1820,NA,,,,,,,,,,,,,,,
14,1821,NA,,,,,,,,,,,,,,,
15,1822,NA,,,,,,,,,,,,,,,
