,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
0,1832,"['mean', 'motion', 'mean', 'motion', 'motion', 'planet', 'motion', 'earth', 'time', 'mean', 'observ', 'last', 'centuri', 'mean', 'motion', 'planet', 'ratio', 'mean', 'motion', 'mean', 'motion', 'earth', 'multipl', 'period', 'time']",1.0,25.0,11.0,"[[('motion', 7), ('mean', 6), ('planet', 2), ('earth', 2), ('time', 2), ('observ', 1), ('last', 1), ('centuri', 1), ('ratio', 1), ('multipl', 1)]]","[[('motion', 7), ('mean', 6), ('planet', 2), ('earth', 2), ('time', 2), ('observ', 1), ('last', 1), ('centuri', 1), ('ratio', 1), ('multipl', 1), ('period', 1)]]","[[('motion', 7), ('mean', 6), ('planet', 2), ('earth', 2), ('time', 2), ('observ', 1), ('last', 1), ('centuri', 1), ('ratio', 1), ('multipl', 1), ('period', 1)]]","[[('motion', 7), ('mean', 6), ('planet', 2), ('earth', 2), ('time', 2), ('observ', 1), ('last', 1), ('centuri', 1), ('ratio', 1), ('multipl', 1), ('period', 1)]]",0.0,,1.0,"[[('motion', 7)]]",2.0,"[[('motion', 7), ('mean', 6)]]",3.0,"[[('motion', 7), ('mean', 6), ('planet', 2)]]"
1,1833,,,,,,,,,,,,,,,,
2,1834,,,,,,,,,,,,,,,,
3,1835,,,,,,,,,,,,,,,,
4,1836,,,,,,,,,,,,,,,,
5,1837,,,,,,,,,,,,,,,,
6,1838,,,,,,,,,,,,,,,,
7,1839,,,,,,,,,,,,,,,,
8,1840,,,,,,,,,,,,,,,,
9,1841,,,,,,,,,,,,,,,,
10,1842,,,,,,,,,,,,,,,,
11,1843,,,,,,,,,,,,,,,,
12,1844,,,,,,,,,,,,,,,,
13,1845,,,,,,,,,,,,,,,,
14,1846,,,,,,,,,,,,,,,,
15,1847,,,,,,,,,,,,,,,,
16,1848,,,,,,,,,,,,,,,,
17,1849,,,,,,,,,,,,,,,,
18,1850,,,,,,,,,,,,,,,,
19,1851,,,,,,,,,,,,,,,,
20,1852,,,,,,,,,,,,,,,,
21,1853,,,,,,,,,,,,,,,,
22,1854,,,,,,,,,,,,,,,,
23,1855,,,,,,,,,,,,,,,,
24,1856,,,,,,,,,,,,,,,,
25,1857,,,,,,,,,,,,,,,,
26,1858,,,,,,,,,,,,,,,,
27,1859,,,,,,,,,,,,,,,,
28,1860,,,,,,,,,,,,,,,,
29,1861,,,,,,,,,,,,,,,,
30,1862,,,,,,,,,,,,,,,,
31,1863,,,,,,,,,,,,,,,,
32,1864,,,,,,,,,,,,,,,,
33,1865,,,,,,,,,,,,,,,,
34,1866,,,,,,,,,,,,,,,,
35,1867,,,,,,,,,,,,,,,,
36,1868,,,,,,,,,,,,,,,,
37,1869,"['secular', 'chang', 'chang', 'date', 'measur', 'tabl', 'case', 'secular', 'chang', 'secular', 'chang', 'date', 'great', 'measur', 'great', 'measur', 'tabl', 'statement', 'origin', 'complet', 'survey', 'map', 'declin']",1.0,23.0,13.0,"[[('chang', 4), ('secular', 3), ('measur', 3), ('date', 2), ('tabl', 2), ('great', 2), ('case', 1), ('statement', 1), ('origin', 1), ('complet', 1)]]","[[('chang', 4), ('secular', 3), ('measur', 3), ('date', 2), ('tabl', 2), ('great', 2), ('case', 1), ('statement', 1), ('origin', 1), ('complet', 1), ('survey', 1), ('map', 1), ('declin', 1)]]","[[('chang', 4), ('secular', 3), ('measur', 3), ('date', 2), ('tabl', 2), ('great', 2), ('case', 1), ('statement', 1), ('origin', 1), ('complet', 1), ('survey', 1), ('map', 1), ('declin', 1)]]","[[('chang', 4), ('secular', 3), ('measur', 3), ('date', 2), ('tabl', 2), ('great', 2), ('case', 1), ('statement', 1), ('origin', 1), ('complet', 1), ('survey', 1), ('map', 1), ('declin', 1)]]",0.0,,1.0,"[[('chang', 4)]]",3.0,"[[('chang', 4), ('secular', 3), ('measur', 3)]]",3.0,"[[('chang', 4), ('secular', 3), ('measur', 3)]]"
38,1870,,,,,,,,,,,,,,,,
39,1871,,,,,,,,,,,,,,,,
40,1872,,,,,,,,,,,,,,,,
41,1873,,,,,,,,,,,,,,,,
42,1874,,,,,,,,,,,,,,,,
43,1875,,,,,,,,,,,,,,,,
44,1876,,,,,,,,,,,,,,,,
45,1877,,,,,,,,,,,,,,,,
46,1878,,,,,,,,,,,,,,,,
